Date,Hour,PJM_Load

12/31/00,100,29775

12/31/00,200,28781

12/31/00,300,28208

12/31/00,400,28002

12/31/00,500,28042

12/31/00,600,28486

12/31/00,700,29191

12/31/00,800,29951

12/31/00,900,30885

12/31/00,1000,31661

12/31/00,1100,32056

12/31/00,1200,32020

12/31/00,1300,31802

12/31/00,1400,31436

12/31/00,1500,31073

12/31/00,1600,31080

12/31/00,1700,32558

12/31/00,1800,35892

12/31/00,1900,36595

12/31/00,2000,35799

12/31/00,2100,34743

12/31/00,2200,33489

12/31/00,2300,32301

12/31/00,2400,31128

12/30/00,100,29989

12/30/00,200,28729

12/30/00,300,28105

12/30/00,400,27812

12/30/00,500,27952

12/30/00,600,28666
12/30/00,700,29751

12/30/00,800,30812

12/30/00,900,31960

12/30/00,1000,33140

12/30/00,1100,33889

12/30/00,1200,33837

12/30/00,1300,33551

12/30/00,1400,33322

12/30/00,1500,32865

12/30/00,1600,32752

12/30/00,1700,34197

12/30/00,1800,37191

12/30/00,1900,37822

12/30/00,2000,37041

12/30/00,2100,36324

12/30/00,2200,35282

12/30/00,2300,33618

12/30/00,2400,31683

12/29/00,100,31904

12/29/00,200,30847

12/29/00,300,30387

12/29/00,400,30546

12/29/00,500,30834

12/29/00,600,32318

12/29/00,700,34694

12/29/00,800,36910

12/29/00,900,37678

12/29/00,1000,37914

12/29/00,1100,37661

12/29/00,1200,36719

12/29/00,1300,35731

12/29/00,1400,35203

12/29/00,1500,34404

12/29/00,1600,34378

12/29/00,1700,35472

12/29/00,1800,38405

12/29/00,1900,38800

12/29/00,2000,38005

12/29/00,2100,37195

12/29/00,2200,36035

12/29/00,2300,34282

12/29/00,2400,32058

12/28/00,100,30063

12/28/00,200,28885

12/28/00,300,28418

12/28/00,400,28386

12/28/00,500,28841

12/28/00,600,30535

12/28/00,700,33108

12/28/00,800,35612

12/28/00,900,36790

12/28/00,1000,37507

12/28/00,1100,37710

12/28/00,1200,37525

12/28/00,1300,36808

12/28/00,1400,36175

12/28/00,1500,35795

12/28/00,1600,35665

12/28/00,1700,36578

12/28/00,1800,40214

12/28/00,1900,41005

12/28/00,2000,40548

12/28/00,2100,39826

12/28/00,2200,38739

12/28/00,2300,36465

12/28/00,2400,34105

12/27/00,100,30886

12/27/00,200,30025

12/27/00,300,29414

12/27/00,400,29326

12/27/00,500,29683

12/27/00,600,31189

12/27/00,700,33698

12/27/00,800,35865

12/27/00,900,37068

12/27/00,1000,37416

12/27/00,1100,37495

12/27/00,1200,37177

12/27/00,1300,36356

12/27/00,1400,36002

12/27/00,1500,35760

12/27/00,1600,35562

12/27/00,1700,36742

12/27/00,1800,39618

12/27/00,1900,40042

12/27/00,2000,39257

12/27/00,2100,38404

12/27/00,2200,37161

12/27/00,2300,34804

12/27/00,2400,32165

12/26/00,100,31495

12/26/00,200,30227

12/26/00,300,29752

12/26/00,400,29887

12/26/00,500,30073

12/26/00,600,30776

12/26/00,700,32634

12/26/00,800,34833

12/26/00,900,35783

12/26/00,1000,36634

12/26/00,1100,36845

12/26/00,1200,36524

12/26/00,1300,35738

12/26/00,1400,35064

12/26/00,1500,34560

12/26/00,1600,34465

12/26/00,1700,35987

12/26/00,1800,39547

12/26/00,1900,40040

12/26/00,2000,39347

12/26/00,2100,38688

12/26/00,2200,37427

12/26/00,2300,35331

12/26/00,2400,32947

12/25/00,100,29881

12/25/00,200,28765

12/25/00,300,28391

12/25/00,400,28443

12/25/00,500,28462

12/25/00,600,29012

12/25/00,700,29359

12/25/00,800,29114

12/25/00,900,31966

12/25/00,1000,32878

12/25/00,1100,33039

12/25/00,1200,32837

12/25/00,1300,32666

12/25/00,1400,32284

12/25/00,1500,31273

12/25/00,1600,30965

12/25/00,1700,30966

12/25/00,1800,34281

12/25/00,1900,35653

12/25/00,2000,35591

12/25/00,2100,36009

12/25/00,2200,35877

12/25/00,2300,34704

12/25/00,2400,33030

12/24/00,100,30864

12/24/00,200,29122

12/24/00,300,28435

12/24/00,400,28139

12/24/00,500,28385

12/24/00,600,29016

12/24/00,700,30010

12/24/00,800,31183

12/24/00,900,32474

12/24/00,1000,33051

12/24/00,1100,32845

12/24/00,1200,32585

12/24/00,1300,31873

12/24/00,1400,31070

12/24/00,1500,30234

12/24/00,1600,29947

12/24/00,1700,31170

12/24/00,1800,34184

12/24/00,1900,34302

12/24/00,2000,33717

12/24/00,2100,33395

12/24/00,2200,33331

12/24/00,2300,32827

12/24/00,2400,31714

12/23/00,100,33360

12/23/00,200,32185

12/23/00,300,31610

12/23/00,400,31593

12/23/00,500,31731

12/23/00,600,32378

12/23/00,700,33663

12/23/00,800,35109

12/23/00,900,36157

12/23/00,1000,36582

12/23/00,1100,35994

12/23/00,1200,35394

12/23/00,1300,34062

12/23/00,1400,33256

12/23/00,1500,32324

12/23/00,1600,32402

